area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;
JAM_A02;T01;88;LOURO PRETO;Nectandra cuspidata;Lauraceae;0.56;6.4;0.003216991;0.013163822;0.064;0.050265482;0.205684714;O;S;3;A;NA;8.36;11.27;0.9;1;0.8;1.1;20111206;498873.4233;8990701.811;;;
JAM_A02;T01;89;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;34.6;0.094024727;1.244874806;0.346;0.271747765;3.597904063;O;E;1;A;NA;22.26;36.46;3.6;3.2;2.7;3.1;20111206;498873.9598;8990706.207;;;
JAM_A02;T01;90;PENTE DE MACACO;Apeiba echinata;Malvaceae;0.28;37.3;0.109271661;0.538124292;0.373;0.292953515;1.442692471;O;S;2;A;NA;17.8;27.57;2.2;2.3;2.7;2.7;20111206;498874.9846;8990709.199;;;
JAM_A02;T01;91;TACHI;Tachigali myrmecophila;Fabaceae;0.48;72.9;0.417392785;2.727715383;0.729;0.572555261;3.741722061;O;NA;NA;A;NA;NA;21.18;NA;NA;NA;NA;20111206;498881.4474;8990716.745;;;
JAM_A02;T01;92;ENVIRA QUIABO;Sterculia pruriens;Malvaceae;0.49;15.8;0.01960668;0.013510498;0.158;0.12409291;0.085509484;O;NA;NA;A;NA;NA;2.19;NA;NA;NA;NA;20111206;498874.0836;8990733.207;;;
JAM_A02;T01;93;ANGELIM AMARGOSO;Parahancornia amapa;Apocynaceae;0.46;18.3;0.026302199;0.038251893;0.183;0.143727864;0.209026736;O;S;2;A;NA;1.64;4.88;0;1.2;1.5;1;20111206;498874.4836;8990733.204;;;
JAM_A02;T01;94;INGA BRANCO;Inga thibaudiana;Fabaceae;0.58;9.4;0.006939778;0.010669119;0.094;0.073827427;0.113501271;O;S;2;A;NA;2.46;4.12;0;0.6;0.2;0.9;20111206;498874.6001;8990735.203;;;
JAM_A02;T01;95;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;20.1;0.031730871;0.426173021;0.201;0.157865031;2.120263787;O;C;2;A;NA;16.06;25.12;2.2;2.3;2.2;2.4;20111206;498874.6344;8990751.403;;;
JAM_A02;T01;96;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;43.7;0.149986702;1.669527914;0.437;0.343218997;3.820430009;O;C;1;A;NA;20.32;36.08;2.3;4.6;6.7;4.2;20111206;498874.3792;8990756.805;;;
JAM_A02;T01;97;MATA MATA BRANCO;Eschweilera coriacea;Lecythidaceae;0.85;21.1;0.034966712;0.475476657;0.211;0.165719012;2.253443871;O;S;2;A;NA;17.01;24.63;2.5;2.1;2.7;2.4;20111206;498876.7081;8990760.286;;;
