Area,trans,tree,common.name,scientific.name,family.name,DBH.09,type.09,canopy.09,light.09,Dead.09,D.class.09,Hcom.09,Htot.09,RN.09,RS.09,RE.09,RW.09,DBH.11,type.11,canopy.11,light.11,Dead.11,D.class.11,X.11,Y.11,Hcom.11,Htot.11,RN.11,RS.11,RE.11,RW.11,UTM.Easting,UTM.Northing
DUC_A01,T02,1410,cacau,Theobroma glaucum,Malvaceae,8.5,O,S,2,FALSE,NA,9.83,15.1,2.75,1.35,1.45,2.65,8.9,O,S,3,FALSE,NA,-0.3,80.9,10.87,17.32,2.6,1.4,1.9,2.9,175105.1956,9674470.494
DUC_A01,T02,1412,bacaba,Oenocarpus bacaba,Arecaceae,10.2,P,S,3,FALSE,NA,5.46,11,3.3,3.4,4.45,3.7,10.4,P,S,2,FALSE,NA,-0.7,65.3,10.56,11.59,3.2,3.7,1.3,3.1,175107.3916,9674456.005
DUC_A01,T02,1413,ucuuba,Virola michelii,Myristicaceae,32.7,O,C,2,FALSE,NA,20.95,24.66,10.75,-2.75,3.95,5.4,33.6,O,S,2,FALSE,NA,-1.3,64,16.96,23.2,9.4,-4.2,2,3.5,175106.986,9674454.869
DUC_A01,T02,1414,axixa,Sterculia pruriens,Malvaceae,34.4,O,E,1,FALSE,NA,19.04,27.14,5,4.95,4.75,5.2,34.5,O,D,1,FALSE,NA,-0.2,63.5,17.43,27.4,4.4,5.2,4.7,3.7,175108.1612,9674454.549
DUC_A01,T02,1415,ata preta,Annona sp.,Annonaceae,11.1,O,S,3,FALSE,NA,8.66,16.28,1.65,1.75,1.45,1.25,12.4,O,S,2,FALSE,NA,-0.6,50.5,7.09,17.38,1.7,1.7,2.2,1.6,175109.9872,9674442.119
DUC_A01,T02,1416,mato,NA,NA,21,O,S,NA,TRUE,3,NA,2.2,NA,NA,NA,NA,21,O,NA,NA,TRUE,3,-1,45.7,NA,7.28,NA,NA,NA,NA,175110.3334,9674437.929
DUC_A01,T02,1417,louro preto,Ocotea cernua,Lauraceae,14,O,C,2,FALSE,NA,13.83,17.51,1.3,2.2,1.9,2,15.6,O,S,2,FALSE,NA,-0.6,41.1,12.28,16.27,1.1,2.2,2.2,2.5,175111.5595,9674433.365
DUC_A01,T02,1419,jatereu,Lecythis idatimon,Lecythidaceae,51.8,O,E,1,FALSE,NA,21.34,31.06,4.5,2.5,6.1,4.5,51.8,O,E,1,FALSE,NA,-4,36.2,22.47,25.95,3.7,4.7,4,4.8,175109.0454,9674428.13
DUC_A01,T02,1420,macucu branco,Licania sp.,Chrysobalanaceae,28.6,O,E,1,FALSE,NA,26.42,31.97,3.5,4.2,5.1,2.5,29.1,O,D,1,FALSE,NA,-0.3,35.2,29.97,34.82,5.6,3.2,4.5,3.4,175112.7797,9674428.269
DUC_A01,T02,1422,inhare,Helicostylis sp.,Moraceae,36.7,O,E,2,FALSE,NA,22.2,26.31,12.3,-4.15,4.7,0.3,37.1,O,E,2,FALSE,NA,-1.4,28.2,27.07,30.38,21,-5.2,3.3,4.2,175112.8993,9674421.38
DUC_A01,T02,1423,pitaica,Swartzia polyphylla,Fabaceae,21.1,O,C,2,FALSE,NA,10.73,14.49,2.65,1.3,0.2,3.15,23.9,O,S,2,FALSE,NA,-1.4,24,13,16.74,2.1,1.6,1.2,2.7,175113.6392,9674417.26
DUC_A01,T02,1425,gairrota,NA,NA,15.2,O,C,1,FALSE,NA,16.86,15.28,2.55,2.5,2.7,1.4,16.4,O,D,1,FALSE,NA,-0.6,10.4,17.86,19.86,2.4,2.8,2.8,1.5,175116.6464,9674405.043
DUC_A01,T02,1426,gairrota,NA,NA,22.4,O,C,1,FALSE,NA,19.07,21.05,2.35,2.65,2.35,2.65,23.8,O,D,1,FALSE,NA,-1.6,10.4,17.39,20.39,2.8,4.2,3.8,2.7,175115.6621,9674404.866
DUC_A01,T02,1428,cacau,Theobroma glaucum,Malvaceae,6.1,O,S,3,FALSE,NA,7.32,7.83,0.7,1,1.1,1.25,6.3,O,E,3,FALSE,NA,-0.1,0.4,7.64,8.83,0.9,1,0.8,1.2,175118.8033,9674395.862
DUC_A01,T02,1249A,mato,NA,NA,10.3,O,S,NA,TRUE,4,NA,4.19,NA,NA,NA,NA,10.3,O,NA,NA,TRUE,4,0.2,171.2,NA,2.08,NA,NA,NA,NA,175092.0114,9674554.735
DUC_A01,T02,1249B,mato,NA,NA,7.1,O,S,NA,TRUE,4,NA,2.75,NA,NA,NA,NA,7.1,O,NA,NA,TRUE,4,0.2,171.3,NA,2.08,NA,NA,NA,NA,175092.0114,9674554.735
DUC_A01,T03,1880,sorva,Couma guianensis,Apocynaceae,16.5,O,C,2,FALSE,NA,13.2,17.23,2.8,3.6,1.9,2.85,16.7,O,S,2,FALSE,NA,-1.3,6.15,10.93,18.3,2.2,1.8,1.5,2.6,171254.0834,9673358.185
DUC_A01,T03,1881,breu,Protium heptaphyllum,Burseraceae,6,O,S,3,FALSE,NA,2.95,5.06,0.85,2.4,1.4,1.45,6.2,O,S,3,FALSE,NA,-0.57,10.37,1.39,4.95,1.4,1.3,1.6,1.5,171253.9673,9673354.254
DUC_A01,T03,1882,fava-saboeiro,Abarema jupunba,Fabaceae,14.8,O,C,1,FALSE,NA,10.82,13.6,1.15,1.5,0.75,1.85,14.9,O,S,1,FALSE,NA,-0.86,11.38,11.34,14.14,1.5,1.2,1.5,1.3,171254.4265,9673353.209
DUC_A01,T03,1883,axixa,Sterculia pruriens,Malvaceae,10.1,O,S,2,FALSE,NA,6.17,8.22,4.1,3,0.3,4.7,10.6,O,S,3,FALSE,NA,-1.08,20,4.8,6.34,1.8,1.6,0.6,4.4,171255.94,9673345.065
DUC_A01,T03,1884,guariuba,Clarisia racemosa,Moraceae,20.8,O,C,2,FALSE,NA,5.86,15.11,4,2.3,0.4,8.4,22.3,O,S,3,FALSE,NA,-2.7,21.05,10.13,13.46,3,2.3,1,5.3,171257.7128,9673344.228
DUC_A01,T03,1885,ucuuba vermelha,Virola mollissima,Myristicaceae,23.3,O,C,1,FALSE,NA,14.27,17.09,2.1,1.8,0.55,1.9,23.6,O,S,2,FALSE,NA,-0.88,23.95,18.77,22.42,1.6,1.5,1.3,2.4,171256.3473,9673341.217
DUC_A01,T03,1886,guajara,Pouteria sp.,Sapotaceae,51.9,O,E,1,FALSE,NA,20.64,27.22,7.75,4.4,4.15,5.05,52.8,O,E,1,FALSE,NA,-0.7,31.7,24.49,31.27,6,4.4,3.1,4.8,171257.3792,9673333.555
DUC_A01,T03,1887,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,31,O,C,2,FALSE,NA,20.15,23.72,1.85,4.2,3.55,6.1,32,O,D,1,FALSE,NA,-2.85,43.45,18.53,23.3,2,2.6,2.8,4.2,171261.3173,9673322.441
DUC_A01,T03,1888,matamata,Eschweilera parviflora,Lecythidaceae,9.6,O,S,3,FALSE,NA,6.26,12.89,2.15,2.05,1.7,1.7,9.9,O,S,3,FALSE,NA,-0.45,43.7,8.05,12.97,1.9,1.7,1.6,1.7,171258.9469,9673322.066
DUC_A01,T03,1889,louro cunauaru,Endlicheria sp.,Lauraceae,21.9,O,E,1,FALSE,NA,19.47,23.02,1.65,0.85,3.1,-0.95,21.9,O,S,1,FALSE,NA,-0.53,48.7,22.05,26.15,0.8,1.2,2,0.7,171259.8036,9673317.171
DUC_A01,T03,1890,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,11.3,O,S,3,FALSE,NA,4.76,12.4,1.9,2.6,2.65,1.65,11.5,O,S,3,FALSE,NA,-0.71,53.05,5.87,13.12,1.5,2.1,2.8,1.6,171260.6726,9673312.837
DUC_A01,T03,1891,jarana,Lecythis lurida,Lecythidaceae,29.7,O,C,2,FALSE,NA,19.49,25.42,3.5,3.75,2.1,4,30.2,O,D,1,FALSE,NA,-0.34,55.7,22.44,25.7,3,2.9,3.1,2.7,171260.6528,9673310.598
DUC_A01,T03,1892,mato,NA,NA,22.7,O,C,NA,TRUE,2,NA,9.75,NA,NA,NA,NA,22.7,O,NA,NA,TRUE,2,-0.42,57.17,0.72,9.36,NA,NA,NA,NA,171260.9911,9673308.975
